Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 └── fc                 | 140.338us      | 289.808us | 169.568us       | 310.816us  | 0 b          | 0 b     | 758.00 Kb     | 2.22 Mb   | 1              
Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ├── conv1              | 184.784us      | 654.285us | 6.123ms         | 24.433ms   | 0 b          | 0 b     | 594.12 Mb     | 2.32 Gb   | 1              
 ├── bn1                | 152.436us      | 393.092us | 4.308ms         | 12.829ms   | 0 b          | 0 b     | 594.13 Mb     | 2.90 Gb   | 1              
 ├── relu               | 59.979us       | 129.523us | 2.356ms         | 7.037ms    | 0 b          | 0 b     | 0 b           | 0 b       | 1              
 ├── maxpool            | 68.361us       | 143.264us | 2.932ms         | 5.857ms    | 0 b          | 0 b     | 446.53 Mb     | 1.31 Gb   | 1              
 ├── layer1             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 221.279us      | 839.754us | 3.970ms         | 15.842ms   | 0 b          | 0 b     | 148.53 Mb     | 818.12 Mb | 1              
 ││├── bn1              | 116.556us      | 303.590us | 1.130ms         | 3.318ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 ││├── relu             | 82.342us       | 164.654us | 1.212ms         | 3.589ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 151.340us      | 561.080us | 4.098ms         | 16.351ms   | 0 b          | 0 b     | 148.53 Mb     | 818.12 Mb | 1              
 ││└── bn2              | 120.278us      | 316.196us | 1.133ms         | 3.327ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 155.282us      | 577.917us | 3.922ms         | 15.649ms   | 0 b          | 0 b     | 148.53 Mb     | 818.12 Mb | 1              
 ││├── bn1              | 117.609us      | 305.170us | 1.134ms         | 3.329ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 ││├── relu             | 81.688us       | 163.805us | 1.211ms         | 3.587ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 155.449us      | 576.296us | 3.904ms         | 15.576ms   | 0 b          | 0 b     | 148.53 Mb     | 817.30 Mb | 1              
 ││└── bn2              | 116.917us      | 303.351us | 1.127ms         | 3.309ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 ├── layer2             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
